N_total_gnb1,ues_migrated,N_remaining,Pactive_W,Pswitched_W,Psaved_W,saving_pct,source
10,9,1,15.687,15.432,0.255,1.62,Pactive=measured/Pswitched=interpolated
11,9,2,16.958,15.707,1.251,7.38,Pactive=measured/Pswitched=interpolated
12,9,3,16.853,15.982,0.871,5.17,Pactive=measured/Pswitched=interpolated
13,9,4,18.589,16.257,2.332,12.55,Pactive=measured/Pswitched=interpolated
14,9,5,19.915,16.532,3.383,16.99,Pactive=measured/Pswitched=interpolated
15,9,6,21.524,16.806,4.718,21.92,Pactive=measured/Pswitched=interpolated
16,9,7,21.924,17.081,4.843,22.09,Pactive=measured/Pswitched=interpolated
17,9,8,21.529,17.356,4.173,19.38,Pactive=measured/Pswitched=interpolated
18,9,9,21.849,17.631,4.218,19.31,Pactive=measured/Pswitched=measured
19,9,10,21.954,15.687,6.266,28.54,Pactive=measured/Pswitched=measured
20,9,11,21.501,16.958,4.543,21.13,Pactive=measured/Pswitched=measured
21,9,12,21.584,16.853,4.731,21.92,Pactive=measured/Pswitched=measured
22,9,13,21.531,18.589,2.942,13.66,Pactive=measured/Pswitched=measured
23,9,14,22.023,19.915,2.108,9.57,Pactive=measured/Pswitched=measured
24,9,15,22.021,21.524,0.496,2.25,Pactive=measured/Pswitched=measured
25,9,16,22.002,21.924,0.078,0.35,Pactive=measured/Pswitched=measured
26,9,17,21.989,21.529,0.46,2.09,Pactive=measured/Pswitched=measured
27,9,18,22.402,21.849,0.553,2.47,Pactive=measured/Pswitched=measured
28,9,19,21.886,21.954,-0.067,-0.31,Pactive=measured/Pswitched=measured
29,9,20,22.395,21.501,0.893,3.99,Pactive=measured/Pswitched=measured
30,9,21,22.872,21.584,1.288,5.63,Pactive=measured/Pswitched=measured
31,9,22,22.898,21.531,1.367,5.97,Pactive=measured/Pswitched=measured
32,9,23,23.267,22.023,1.244,5.35,Pactive=measured/Pswitched=measured
33,9,24,22.963,22.021,0.942,4.1,Pactive=measured/Pswitched=measured
34,9,25,22.051,22.002,0.049,0.22,Pactive=measured/Pswitched=measured
35,9,26,21.677,21.989,-0.312,-1.44,Pactive=measured/Pswitched=measured
36,9,27,22.305,22.402,-0.098,-0.44,Pactive=measured/Pswitched=measured
37,9,28,21.947,21.886,0.061,0.28,Pactive=measured/Pswitched=measured
38,9,29,21.732,22.395,-0.663,-3.05,Pactive=measured/Pswitched=measured
39,9,30,21.8,22.872,-1.072,-4.92,Pactive=extrapolated/Pswitched=measured
40,9,31,21.75,22.898,-1.148,-5.28,Pactive=extrapolated/Pswitched=measured
41,9,32,21.7,23.267,-1.567,-7.22,Pactive=extrapolated/Pswitched=measured
42,9,33,21.65,22.963,-1.313,-6.07,Pactive=extrapolated/Pswitched=measured
43,9,34,21.6,22.051,-0.451,-2.09,Pactive=extrapolated/Pswitched=measured
44,9,35,21.549,21.677,-0.127,-0.59,Pactive=extrapolated/Pswitched=measured
45,9,36,21.499,22.305,-0.805,-3.75,Pactive=extrapolated/Pswitched=measured
46,9,37,21.449,21.947,-0.498,-2.32,Pactive=extrapolated/Pswitched=measured
47,9,38,21.399,21.732,-0.333,-1.56,Pactive=extrapolated/Pswitched=measured
48,9,39,21.349,21.8,-0.451,-2.11,Pactive=extrapolated/Pswitched=extrapolated
49,9,40,21.299,21.75,-0.451,-2.12,Pactive=extrapolated/Pswitched=extrapolated
50,9,41,21.248,21.7,-0.451,-2.12,Pactive=extrapolated/Pswitched=extrapolated
