ue_count,n_samples,source,cpu_pct_proc_mean,cpu_user_pct_mean,cpu_sys_pct_mean,cpu_freq_mhz_mean,irq_rate_mean,mem_used_mb_mean,temp_c_mean,rapl_pkg0_w_mean,rapl_dram_w_mean,ipc_mean,dl_brate_mbps_mean,ul_brate_mbps_mean,active_slots_mean,dl_mcs_avg_mean,ul_mcs_avg_mean,dl_cqi_avg_mean,ul_snr_avg_mean,dl_prb_avg_mean,ul_prb_avg_mean,dl_bler_mean,ul_bler_mean,cpu_pct_proc_std,cpu_user_pct_std,cpu_sys_pct_std,cpu_freq_mhz_std,irq_rate_std,mem_used_mb_std,temp_c_std,rapl_pkg0_w_std,rapl_dram_w_std,ipc_std,dl_brate_mbps_std,ul_brate_mbps_std,active_slots_std,dl_mcs_avg_std,ul_mcs_avg_std,dl_cqi_avg_std,ul_snr_avg_std,dl_prb_avg_std,ul_prb_avg_std,dl_bler_std,ul_bler_std
0,30,measured_baseline,13.1033,5.6467,7.27,1289.9667,992736.9333,22359.8333,64.6333,15.1577,1.586,0.0,0.0001,0.0008,13.3333,3.444,0.0,0.0,88.457,0.0,13.0,0.0,0.0,9.0422,3.8222,5.4015,107.8337,721163.0249,15721.4332,1.7515,7.6061,0.7057,0.0,0.0003,0.0021,19.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,interpolated,14.7478,6.2026,8.2289,1283.6252,1090263.1709,24235.4986,64.7693,15.4325,1.6248,0.0,0.0001,0.0007,11.8518,3.4534,0.0,0.0,88.4572,0.0,13.0,0.0,0.0,8.2105,3.4928,4.9039,100.073,643735.9869,13979.0769,1.6292,6.8026,0.6311,0.0,0.0003,0.0019,17.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,interpolated,16.3923,6.7585,9.1878,1277.2836,1187789.4084,26111.164,64.9053,15.7073,1.6636,0.0,0.0001,0.0006,10.3703,3.4629,0.0,0.0,88.4574,0.0,13.0,0.0,0.0,7.3789,3.1634,4.4064,92.3124,566308.9488,12236.7206,1.5069,5.9991,0.5564,0.0,0.0002,0.0016,14.9166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,interpolated,18.0367,7.3145,10.1467,1270.9421,1285315.646,27986.8293,65.0412,15.982,1.7023,0.0,0.0001,0.0005,8.8889,3.4723,0.0,0.0,88.4577,0.0,13.0,0.0,0.0,6.5472,2.8339,3.9088,84.5517,488881.9108,10494.3642,1.3845,5.1955,0.4818,0.0,0.0002,0.0014,12.7857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,interpolated,19.6812,7.8704,11.1056,1264.6006,1382841.8836,29862.4947,65.1772,16.2568,1.7411,0.0,0.0001,0.0004,7.4074,3.4818,0.0,0.0,88.4579,0.0,13.0,0.0,0.0,5.7155,2.5045,3.4112,76.791,411454.8727,8752.0079,1.2622,4.392,0.4072,0.0,0.0002,0.0012,10.6547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,interpolated,21.3257,8.4263,12.0644,1258.259,1480368.1211,31738.16,65.3132,16.5316,1.7799,0.0,0.0,0.0004,5.9259,3.4912,0.0,0.0,88.4581,0.0,13.0,0.0,0.0,4.8839,2.1751,2.9137,69.0304,334027.8347,7009.6516,1.1399,3.5885,0.3325,0.0,0.0001,0.0009,8.5238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,interpolated,22.9702,8.9822,13.0233,1251.9175,1577894.3587,33613.8254,65.4492,16.8064,1.8187,0.0,0.0,0.0003,4.4444,3.5007,0.0,0.0,88.4583,0.0,13.0,0.0,0.0,4.0522,1.8457,2.4161,61.2697,256600.7966,5267.2953,1.0176,2.785,0.2579,0.0,0.0001,0.0007,6.3928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,interpolated,24.6146,9.5382,13.9822,1245.576,1675420.5963,35489.4907,65.5851,17.0811,1.8574,0.0,0.0,0.0002,2.963,3.5101,0.0,0.0,88.4586,0.0,13.0,0.0,0.0,3.2205,1.5162,1.9185,53.509,179173.7586,3524.9389,0.8952,1.9814,0.1833,0.0,0.0001,0.0005,4.2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,interpolated,26.2591,10.0941,14.9411,1239.2344,1772946.8338,37365.1561,65.7211,17.3559,1.8962,0.0,0.0,0.0001,1.4815,3.5196,0.0,0.0,88.4588,0.0,13.0,0.0,0.0,2.3889,1.1868,1.421,45.7484,101746.7205,1782.5826,0.7729,1.1779,0.1086,0.0,0.0,0.0002,2.1309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,28,measured,27.9036,10.65,15.9,1232.8929,1870473.0714,39240.8214,65.8571,17.6307,1.935,0.0,0.0,0.0,0.0,3.529,0.0,0.0,88.459,0.0,13.0,0.0,0.0,1.5572,0.8574,0.9234,37.9877,24319.6825,40.2263,0.6506,0.3744,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,29,measured,17.0207,6.0345,10.7724,1326.6207,1018093.5862,23102.7241,65.3103,15.6872,1.5869,0.0,0.0,0.0,0.2069,3.3175,0.0,0.0,88.452,0.0,13.5,0.0,0.0,14.2824,3.9146,12.6031,214.4124,711795.3565,15486.6421,0.7608,7.6144,0.6162,0.0,0.0,0.0,0.8185,0.763,0.0,0.0,32.3827,0.0,6.364,0.0,0.0
11,18,measured,22.5944,8.4,13.6389,1214.2778,1764168.9444,39172.3889,66.1111,16.9583,1.8533,0.0,0.0009,0.0053,29.5,3.765,0.0,0.0,88.36,0.0,13.0,0.0,0.0,2.1599,0.9659,0.8562,26.3814,31087.0611,14.7574,0.6764,0.4759,0.1384,0.0,0.0003,0.0019,11.8731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,29,measured,23.1483,8.6759,13.8552,1220.2759,1779736.5517,39216.4828,66.3448,16.8528,1.8252,0.0,0.0013,0.0651,40.0,11.0019,0.0,0.0,105.5294,0.0,34.7518,0.0,0.0,2.2978,1.0235,0.9436,25.0669,40554.6919,25.4721,0.7209,0.5201,0.0769,0.0,0.0072,0.3506,0.0,3.9618,0.0,0.0,8.4781,0.0,11.6526,0.0,0.0
13,28,measured,31.1714,12.2571,16.8393,1264.75,1937424.0357,39406.3571,66.9286,18.5889,2.0904,0.0,0.1502,6.8537,40.0,12.9568,0.0,0.0,109.3736,0.0,40.7164,0.0,0.0,1.8543,0.8271,0.7767,47.8738,37594.3982,54.007,0.6042,0.5613,0.0732,0.0,0.1453,6.444,0.0,0.5722,0.0,0.0,0.2882,0.0,0.5238,0.0,0.0
14,29,measured,33.3241,13.3448,17.4207,1323.9655,1980608.6552,39641.1379,67.4828,19.9145,2.371,0.0,0.6817,30.9261,40.0,13.2994,0.0,0.0,109.5187,0.0,41.9415,0.0,0.0,0.8096,0.5166,0.3986,45.4914,5793.233,57.4455,0.5745,0.4476,0.0647,0.0,0.1952,9.0483,0.0,0.211,0.0,0.0,0.1004,0.0,0.5814,0.0,0.0
