ue_count,load_norm,rapl_pkg0_w_mean,rapl_pkg0_w_std,cpu_pct_mean,dl_brate_mbps_mean,source
0,0.0,15.1577,7.6061,13.1033,0.0001,measured_baseline
1,0.02,15.4325,6.8026,14.7478,0.0001,interpolated
2,0.04,15.7073,5.9991,16.3923,0.0001,interpolated
3,0.06,15.982,5.1955,18.0367,0.0001,interpolated
4,0.08,16.2568,4.392,19.6812,0.0001,interpolated
5,0.1,16.5316,3.5885,21.3257,0.0,interpolated
6,0.12,16.8064,2.785,22.9702,0.0,interpolated
7,0.14,17.0811,1.9814,24.6146,0.0,interpolated
8,0.16,17.3559,1.1779,26.2591,0.0,interpolated
9,0.18,17.6307,0.3744,27.9036,0.0,measured
10,0.2,15.6872,7.6144,17.0207,0.0,measured
11,0.22,16.9583,0.4759,22.5944,0.0009,measured
12,0.24,16.8528,0.5201,23.1483,0.0013,measured
13,0.26,18.5889,0.5613,31.1714,0.1502,measured
14,0.28,19.9145,0.4476,33.3241,0.6817,measured
15,0.3,21.5243,0.5506,33.15,1.6136,measured
16,0.32,21.9239,0.5535,33.0107,2.1178,measured
17,0.34,21.5286,0.8102,33.8517,2.4596,measured
18,0.36,21.8489,0.783,33.7857,2.4209,measured
19,0.38,21.9536,0.7899,33.2571,2.1097,measured
20,0.4,21.501,0.7806,33.2655,1.8955,measured
21,0.42,21.5838,0.7762,33.2172,1.9903,measured
22,0.44,21.5307,0.878,33.1321,1.8462,measured
23,0.46,22.0229,0.766,32.1607,1.5804,measured
24,0.48,22.0207,0.9146,32.2793,1.5771,measured
25,0.5,22.0018,0.7698,32.2607,1.4561,measured
26,0.52,21.989,0.7662,33.1379,1.8908,measured
27,0.54,22.4021,0.7189,33.569,3.03,measured
28,0.56,21.8864,0.6969,35.3964,3.2411,measured
29,0.58,22.3945,0.9872,35.7241,4.6747,measured
30,0.6,22.8717,0.7892,35.6034,5.7396,measured
31,0.62,22.8979,0.8506,36.2429,6.7358,measured
32,0.64,23.2669,0.8141,36.7,6.5086,measured
33,0.66,22.9631,0.9372,37.131,6.8651,measured
34,0.68,22.051,1.0474,35.0862,5.6639,measured
35,0.7,21.6768,0.7485,32.7393,0.3668,measured
36,0.72,22.3045,0.7966,31.9138,0.0,measured
37,0.74,21.9469,0.6813,32.1103,0.0,measured
38,0.76,21.732,0.6412,32.565,0.0,measured
39,0.78,21.8002,1.282,36.1699,7.5453,extrapolated
40,0.8,21.7501,1.329,36.3867,7.9215,extrapolated
41,0.82,21.6999,1.3759,36.6034,8.2978,extrapolated
42,0.84,21.6497,1.4228,36.8201,8.6741,extrapolated
43,0.86,21.5996,1.4698,37.0369,9.0503,extrapolated
44,0.88,21.5494,1.5167,37.2536,9.4266,extrapolated
45,0.9,21.4993,1.5636,37.4704,9.8029,extrapolated
46,0.92,21.4491,1.6105,37.6871,10.1792,extrapolated
47,0.94,21.399,1.6575,37.9039,10.5554,extrapolated
48,0.96,21.3488,1.7044,38.1206,10.9317,extrapolated
49,0.98,21.2986,1.7513,38.3373,11.308,extrapolated
50,1.0,21.2485,1.7983,38.5541,11.6842,extrapolated
