ue_id,data_source,tput_1M,jitter_1M,loss_1M,eff_1M,tput_10M,jitter_10M,loss_10M,eff_10M,tput_20M,jitter_20M,loss_20M,eff_20M,tput_50M,jitter_50M,loss_50M,eff_50M,tput_100M,jitter_100M,loss_100M,eff_100M,tput_200M,jitter_200M,loss_200M,eff_200M,tput_300M,jitter_300M,loss_300M,eff_300M,tput_400M,jitter_400M,loss_400M,eff_400M,tput_500M,jitter_500M,loss_500M,eff_500M,ping_avg_ms,ping_min_ms,ping_max_ms,ping_mdev_ms,ping_load_avg_ms,ping_load_mdev_ms,ran_pucch_snr_db,ran_pucch_cqi,ran_pucch_ta_us,ran_pucch_n_samples,ran_pusch_snr_db,ran_pusch_mcs,ran_pusch_tbs,ran_pusch_nof_re,ran_pusch_ta_us,ran_pusch_rb_len,ran_pusch_n_samples,ran_pdsch_nof_prb,ran_pdsch_nof_re,ran_pdsch_mcs,ran_pdsch_tbs,ran_pdsch_n_samples,ran_prb_util_pct,ran_proc_rss_kB,ran_proc_vmem_kB,ran_proc_cpu_pct,ran_thread_count,ran_sys_mem_pct,ran_sys_load,ran_dl_brate_bps,ran_ul_brate_bps,ue_ip,c_rnti,ue_pid,ue_rss_kB,ue_vsz_kB,srsue_proc_rss_kB,srsue_proc_vsz_kB,srsue_proc_cpu_total_pct,srsue_proc_cpu_user_pct,srsue_proc_cpu_sys_pct,srsue_proc_vol_ctxsw_s,srsue_proc_nonvol_ctxsw_s,srsue_proc_schedrun_ns,srsue_proc_schedwait_ns,srsue_proc_threads,srsue_proc_vmlock_kB,gnb1_node_cpu_user_pct,gnb1_node_cpu_sys_pct,gnb1_node_cpu_softirq_pct,gnb1_node_cpu_idle_pct,gnb1_node_mem_used_MB,gnb1_node_swap_used_MB,gnb1_node_load1,gnb1_node_intr_per_s,gnb1_node_ctxt_per_s,gnb1_node_softirq_NET_RX_per_s,gnb1_node_softirq_NET_TX_per_s,gnb1_node_softirq_SCHED_per_s,gnb1_node_net_rx_bytes_s,gnb1_node_net_tx_bytes_s,gnb1_node_temp_package0_C,gnb1_node_temp_package1_C,gnb1_node_temp_core_max_C,gnb1_node_cpu0_pct,gnb1_node_cpu1_pct,gnb1_node_cpu2_pct,gnb1_node_cpu3_pct,gnb1_node_cpu4_pct,gnb1_node_cpu5_pct,gnb1_node_cpu6_pct,gnb1_node_cpu7_pct,gnb1_node_cpu8_pct,gnb1_node_cpu9_pct,gnb1_node_cpu10_pct,gnb1_node_cpu11_pct,gnb1_node_cpu12_pct,gnb1_node_cpu13_pct,gnb1_node_cpu14_pct,gnb1_node_cpu15_pct,gnb1_node_cpu16_pct,gnb1_node_cpu17_pct,gnb1_node_cpu18_pct,gnb1_node_cpu19_pct,gnb1_node_cpu20_pct,gnb1_node_cpu21_pct,gnb1_node_cpu22_pct,gnb1_node_cpu23_pct,gnb1_node_cpu24_pct,gnb1_node_cpu25_pct,gnb1_node_cpu26_pct,gnb1_node_cpu27_pct,gnb1_node_cpu28_pct,gnb1_node_cpu29_pct,gnb1_node_cpu30_pct,gnb1_node_cpu31_pct,sysmon_cpu_total_pct,sysmon_mem_used_pct,sysmon_load1,sysmon_load5,sysmon_load15,sysmon_rx_bytes_s,sysmon_tx_bytes_s,sysmon_total_srsenb_procs,sysmon_sum_dl_brate_bps,sysmon_sum_ul_brate_bps,sysmon_mean_proc_rss_kB,sysmon_max_proc_rss_kB,core_node_cpu_user_pct,core_node_cpu_sys_pct,core_node_mem_used_MB,core_node_temp_package0_C,core_node_intr_per_s,core_node_ctxt_per_s,core_proc_cpu_total_pct,core_proc_rss_kB,gnb1_pkg0_power_W,gnb1_pkg1_power_W,gnb1_dram0_power_W,gnb1_dram1_power_W,gnb1_cpu0_freq_MHz,gnb1_total_power_W,uehost1_pkg0_power_W,uehost1_pkg1_power_W,uehost1_dram0_power_W,uehost1_dram1_power_W,uehost1_cpu0_freq_MHz,uehost1_total_power_W,uehost1_power_per_ue_W
1,real,1.001,23.576,27.26,0.728,10.0,17.018,92.49,0.751,19.999,21.801,95.54,0.892,49.995,24.661,98.26,0.87,99.991,19.518,99.04,0.96,199.981,21.216,99.44,1.12,299.976,19.273,98.9,3.3,399.982,23.196,99.19,3.24,499.966,20.234,99.01,4.95,787.377,358.801,1146.504,227.699,722.728,217.708,111.8,15.0,0.0,19111.0,109.62,3.99,2371.42,5366.79,0.0,38.97,7858.0,34.26,5103.4,5.55,3061.33,6960.0,77.94,855584.0,1666488.0,21.38,15.0,63.46,15.05,341.27,223601.8,10.45.0.2,0x46,156013.0,979904.0,1719948.0,979904.0,1719948.0,19.384040114613175,8.695214899713466,10.688825214899714,1.030229226361031,0.1621776504297994,569157664.2994269,103582191.93409742,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
2,real,1.001,33.07,52.26,0.478,10.0,26.652,94.13,0.587,19.999,24.806,97.45,0.51,49.995,23.792,98.49,0.755,99.992,24.91,98.06,1.94,199.987,23.824,99.53,0.94,299.975,39.783,99.13,2.61,399.98,36.562,99.56,1.76,499.964,31.361,99.27,3.65,1562.695,738.737,2279.252,404.287,1481.554,562.207,111.8,15.0,0.0,12599.0,109.16,4.0,2639.6,5960.09,0.0,43.15,7512.0,7.73,1155.1,4.06,501.42,1813.0,86.3,855580.0,1666488.0,20.41,15.0,63.46,15.05,341.27,223601.8,10.45.0.3,0x46,156059.0,979936.0,1719948.0,979936.0,1719948.0,19.295845272206304,7.679068767908309,11.616776504297995,1.030229226361031,0.1570200573065902,556495539.4727794,63912326.796561606,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
3,real,1.001,30.211,38.9,0.612,10.0,28.648,92.94,0.706,19.999,28.169,96.3,0.74,49.995,28.128,98.2,0.9,99.992,27.933,98.65,1.35,199.985,30.727,99.51,0.98,299.98,32.488,98.83,3.51,399.965,30.863,99.49,2.04,499.959,33.906,99.69,1.55,1050.805,554.238,1539.587,294.684,1017.361,292.292,111.8,15.0,0.0,14923.0,109.07,4.0,2685.81,6063.07,0.0,43.86,6488.0,3.13,469.06,2.95,47.51,1157.0,87.71,855580.0,1666488.0,21.29,15.0,63.46,15.05,341.27,223601.8,10.45.0.4,0x46,156106.0,979756.0,1719948.0,980084.0,1719948.0,20.13541547277937,8.43349570200573,11.70191977077364,1.0302292263610315,0.154727793696275,661365598.1891117,104872829.0444126,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
4,real,1.001,23.918,32.22,0.678,10.0,26.736,92.95,0.705,19.999,30.249,95.65,0.87,49.995,26.812,98.34,0.83,99.992,23.941,99.07,0.93,199.983,26.677,99.44,1.12,299.983,28.986,99.65,1.05,399.964,26.508,99.68,1.28,499.959,32.178,99.68,1.6,882.986,444.958,1316.053,257.619,819.499,254.096,111.8,15.0,0.0,16894.0,109.03,4.0,2712.68,6122.85,0.0,44.29,3134.0,3.18,476.81,3.04,53.89,386.0,88.59,855580.0,1666488.0,21.11,15.0,63.46,15.05,341.27,223601.8,10.45.0.5,0x46,156150.0,979596.0,1719948.0,979888.0,1719948.0,21.189111747851,8.76349570200573,12.425616045845274,1.030229226361031,0.153295128939828,551814413.0859599,65522557.42550144,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
5,real,1.001,13.996,0.0,1.001,10.0,7.162,86.11,1.389,19.999,12.637,92.95,1.41,49.995,7.502,97.24,1.38,99.993,10.818,98.54,1.46,199.982,8.198,99.25,1.5,299.983,13.225,99.44,1.68,399.971,10.974,99.59,1.64,499.982,9.718,99.6,2.0,345.851,185.957,558.63,102.035,948.007,253.933,111.8,15.0,0.0,41328.0,108.99,4.0,2743.51,6189.32,0.0,44.77,9015.0,3.08,462.34,2.77,37.29,839.0,89.53,855584.0,1666488.0,26.75,15.0,63.46,15.05,341.27,223601.8,10.45.0.6,0x46,156193.0,979600.0,1719948.0,979952.0,1719948.0,28.512736389684814,13.26704871060172,15.245687679083094,1.0303724928366762,0.1785100286532951,722675069.5544412,88102672.10028653,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
6,real,1.001,20.638,18.53,0.816,10.0,16.18,91.84,0.816,19.999,13.995,95.51,0.898,49.996,16.996,98.34,0.83,99.992,15.101,98.51,1.49,199.984,14.025,98.92,2.16,299.982,14.369,99.47,1.59,399.97,13.437,99.01,3.96,499.989,14.355,99.33,3.35,678.909,327.315,1008.917,201.849,682.548,200.005,111.8,15.0,0.0,21682.0,109.02,4.0,2724.29,6148.05,0.0,44.47,4092.0,3.15,472.95,3.04,50.49,451.0,88.93,855576.0,1666488.0,22.57,15.0,63.46,15.05,341.27,223601.8,10.45.0.7,0x46,156246.0,979772.0,1719948.0,980108.0,1719948.0,20.38280802292264,9.25929799426934,11.123510028653294,1.030229226361031,0.1260744985673352,536205085.004298,77936589.47851002,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
7,"imputed_rates:1,10,20,50",1.001,22.713,33.19,0.669,10.0,20.979,92.1,0.79,19.999,22.267,95.63,0.875,49.995,19.686,98.05,0.974,99.991,26.441,99.41,0.59,199.982,35.132,99.62,0.76,299.979,26.043,99.05,2.85,399.98,25.66,99.01,3.96,499.973,30.329,99.45,2.75,1854.51,864.44,2752.513,465.122,1368.818,442.523,111.8,15.0,0.0,11431.0,109.13,4.0,2630.2,5941.48,0.0,43.01,3097.0,3.15,473.06,3.23,58.92,605.0,86.01,855584.0,1666488.0,20.53,15.0,63.46,15.05,341.27,223601.8,10.45.0.8,0x46,156295.0,979660.0,1719948.0,980000.0,1719948.0,18.377936962750717,7.332521489971347,11.045415472779371,1.030229226361031,0.1555873925501432,522902392.45415473,71813448.30945559,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
8,real,1.001,20.941,31.68,0.684,10.0,24.325,92.91,0.709,19.999,23.753,96.06,0.788,49.996,23.192,98.36,0.82,99.994,25.564,99.3,0.7,199.983,17.576,99.5,1.0,299.976,16.911,99.58,1.26,399.977,28.916,99.4,2.4,499.965,30.079,99.56,2.2,920.095,479.924,1609.676,293.589,831.868,252.153,111.8,15.0,0.0,17043.0,109.05,4.0,2708.2,6113.06,0.0,44.22,3331.0,3.16,474.7,3.04,52.48,419.0,88.44,855584.0,1666488.0,21.69,15.0,63.46,15.05,341.27,223601.8,10.45.0.9,0x46,156345.0,979616.0,1719948.0,979940.0,1719948.0,18.996203438395412,8.33147564469914,10.664727793696274,1.029942693409742,0.1200573065902578,705913244.5229226,109804909.79369628,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
9,real,1.001,13.817,0.0,1.001,10.0,10.831,90.0,1.0,19.999,9.714,94.77,1.046,49.995,8.979,97.78,1.11,99.991,12.971,98.51,1.49,199.98,11.092,99.38,1.24,299.996,12.296,99.55,1.35,399.965,12.453,99.45,2.2,499.954,11.991,99.62,1.9,533.787,275.368,826.556,165.155,557.851,133.553,111.8,15.0,0.0,27458.0,109.0,4.0,2744.12,6191.23,0.0,44.77,5954.0,3.13,469.2,2.99,47.34,539.0,89.54,855584.0,1666488.0,24.0,15.0,63.46,15.05,341.27,223601.8,10.45.0.10,0x46,156395.0,979668.0,1719948.0,980012.0,1719948.0,22.56031518624642,10.35816618911175,12.20214899713467,1.0303724928366762,0.1263610315186246,527424390.2464184,76952822.73495702,17.0,1719924.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
10,imputed_rates:500,1.001,33.916,52.48,0.476,10.0,27.635,94.51,0.549,19.999,26.907,97.56,0.488,49.995,25.899,98.87,0.565,99.99,29.759,98.9,1.1,199.982,27.167,99.09,1.82,299.975,31.15,99.39,1.83,399.961,35.78,99.24,3.04,499.968,12.39,99.34,3.32,1298.899,657.78,1934.164,377.621,1344.4,353.446,111.8,15.0,0.0,11092.0,109.12,4.0,2655.75,5998.03,0.0,43.4,2752.0,3.12,468.34,2.98,49.08,589.0,86.81,855584.0,1666488.0,19.63,15.0,63.46,15.05,341.27,223601.8,10.45.0.11,0x46,156444.0,979664.0,1719972.0,979996.0,1719972.0,17.06445558739255,7.250229226361031,9.81422636103152,1.030229226361031,0.1719197707736389,573448768.4942694,107575078.8008596,17.0,1719948.0,11.513,17.113,3.608,67.762,40797.089,50.8,13.382,691186.571,1538220.549,53755.836,6913.876,7677.77,1008553.929,1639.064,68.597,60.394,56.304,38.656,22.474,38.371,22.216,37.676,22.143,37.186,22.442,37.573,22.294,35.947,22.33,37.009,22.729,43.35,22.238,45.489,22.669,44.825,22.713,45.647,21.926,45.644,22.194,44.678,22.383,46.68,22.428,44.316,22.737,38.723,22.818,31.957,62.601,14.005,14.014,13.967,1396531.609,784.568,50.0,17063.558,11180089.905,831035.002,855587.381,0.03,0.027,1620.801,61.748,332.154,430.513,0.098,25018.482,23.677,20.354,2.863,3.028,1558.345,44.03,28.036,25.397,1.86,2.953,1629.017,53.43,1.09
