ue_id,gnb,timestamp,tti,event,rnti,pdsch_nof_prb,pdsch_tbs,pdsch_mcs,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_tbs,pusch_mod,pusch_snr,pusch_proc_us,pucch_snr,pucch_cqi,pucch_f,phr_val,bsr_val
50,gnb2,2026-08-19T09:50:35.169072,342,PDSCH,0x2,3,11,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:35.437822,352,PUSCH,0x46,,,,,2,2,7,2,117.8,93,,,,,
50,gnb2,2026-08-19T09:50:35.490611,354,PDSCH,0x46,3,32,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:35.621172,361,PUCCH_CQI,0x46,,,,,,,,,,,-inf,0,2,,
50,gnb2,2026-08-19T09:50:36.624928,388,PUSCH,0x46,,,,,2,44,157,2,109.0,335,,,,,
50,gnb2,2026-08-19T09:50:36.624939,388,PHR,,,,,,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:36.651386,389,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:36.674901,390,PDSCH,0x46,6,51,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:37.028953,401,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:37.242106,408,PUSCH,0x46,,,,,2,8,517,4,111.4,143,,,,,
50,gnb2,2026-08-19T09:50:37.338910,409,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:37.401297,410,PDSCH,0x46,3,41,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:37.997496,428,PUSCH,0x46,,,,,2,8,517,4,111.4,92,,,,,
50,gnb2,2026-08-19T09:50:38.027153,429,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:38.054978,430,PDSCH,0x46,3,26,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:38.403000,441,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:38.704877,448,PUSCH,0x46,,,,,2,8,517,4,111.4,97,,,,,
50,gnb2,2026-08-19T09:50:38.704902,448,PHR,,,,,,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:38.745087,449,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:38.775377,450,PDSCH,0x46,3,18,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:39.329798,468,PUSCH,0x46,,,,,2,8,517,4,111.4,88,,,,,
50,gnb2,2026-08-19T09:50:39.351661,469,PDSCH,0x46,3,22,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:39.928535,481,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:40.144103,488,PUSCH,0x46,,,,,2,8,517,4,111.4,116,,,,,
50,gnb2,2026-08-19T09:50:40.183907,489,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:40.220869,490,PDSCH,0x46,3,113,4,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:40.793866,508,PUSCH,0x46,,,,,2,8,517,4,111.4,189,,,,,
50,gnb2,2026-08-19T09:50:40.793867,508,PHR,,,,,,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:40.811518,509,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:40.830402,510,PDSCH,0x46,3,7,2,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:41.046723,518,PDSCH,0x46,3,73,4,0,,,,,,,,,,,
50,gnb2,2026-08-19T09:50:41.179005,521,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:42.153417,548,PUSCH,0x46,,,,,2,8,517,4,111.4,173,,,,,
50,gnb2,2026-08-19T09:50:42.797769,561,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:44.204286,601,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:45.617376,641,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:47.317294,681,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:48.882299,721,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:50.527742,761,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:51.940300,801,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:53.749281,841,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:55.165062,881,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:56.877958,921,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:50:58.686772,961,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:00.717320,1001,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:02.092564,1041,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:03.751055,1081,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:05.444112,1121,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:07.002732,1161,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:08.317416,1201,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:09.977680,1241,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:11.480375,1281,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:12.829410,1321,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:14.669513,1361,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:16.103878,1401,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:17.464033,1441,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:18.971757,1481,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:20.567052,1521,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:22.259710,1561,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:24.523361,1601,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:26.270937,1641,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:28.226836,1681,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:29.778677,1721,PUCCH_CQI,0x46,,,,,,,,,,,111.8,15,2,,
50,gnb2,2026-08-19T09:51:30.131880,1728,PUSCH,0x46,,,,,2,8,517,4,111.4,181,,,,,
