event_type,ue_id,gnb,timestamp_utc,epoch_s,total_ues_gnb1,total_ues_gnb2,attach_ok,attach_latency_s,ue_ip,ho_total_ms,ping_loss_pct,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,iperf_dl_mbps,iperf_ul_mbps,gnb_pkg0_watts,gnb_pkg1_watts,gnb_total_watts,gnb_load1,gnb_load5,gnb_cpu_max_pct,sysmon_cpu_user_pct,sysmon_cpu_sys_pct,sysmon_cpu_softirq_pct,sysmon_cpu_idle_pct,sysmon_ctx_switches_per_s,sysmon_intr_per_s,sysmon_softirq_net_rx_per_s,sysmon_softirq_net_tx_per_s,sysmon_softirq_timer_per_s,sysmon_softirq_sched_per_s,sysmon_softirq_rcu_per_s,sysmon_ipc,sysmon_cpu_freq_mhz_avg,sysmon_rapl_uj_delta,proc_cpu_pct,proc_rss_kB,proc_sched_run_ns,proc_sched_wait_ns,ran_combined_pdsch_prb_mean,ran_combined_pusch_snr_mean,ran_combined_pusch_proc_us_mean,ran_combined_phr_mean,notes
attach_gnb1,50,gnb1,2026-08-19T09:48:36Z,1787132916.903,50,0,1,14.53,10.45.0.71,,100,,,,0,0,23.9737,20.5447,44.5184,13.91,13.30,36,11.91,17.41,3.57,67.1,1527629.0,676860.0,53544.0,5829.0,681.0,7622.0,4035.0,0.1191,1368.8,125792403,9504867.62,855584,3189192767383,1395437981904,14.48,110.14,578.31,,UE50_attached_gnb1_50UEs
post_lb_gnb1,50,gnb1,2026-08-19T09:49:19Z,1787132959.380,49,0,0,,,21653.0,100,,,,0,0,22.6724,21.1123,43.7847,13.77,13.34,36,10.96,16.07,3.93,69.05,1513473.0,669823.0,53576.0,10429.0,505.0,7660.0,4047.0,0.1096,1441.3,133887048,9538313.45,855584,3189327027549,1395503952106,,,,,UE50_removed_from_gnb1_49UEs
attach_gnb2,50,gnb2,2026-08-19T09:52:13Z,1787133133.173,49,1,1,,10.45.0.72,129593.0,100,,,,0,0,12.3948,9.2474,21.6422,0.31,0.09,1,0.1,0.17,0.02,99.71,33246.0,18550.0,2153.0,0.0,88.0,706.0,120.0,0.001,1246.2,68981208,155.83,854864,1221616235,187271,3.18,111.8,171.95,,UE50_on_gnb2_gnb2has_1UEs
attach_gnb1,51,gnb1,2026-08-19T09:56:00Z,1787133360.949,50,0,1,19.68,10.45.0.73,,100,,,,0,0,22.7126,20.7743,43.4869,14.92,14.11,36,11.28,17.22,3.76,67.73,1517352.0,671017.0,52125.0,7664.0,693.0,7591.0,3981.0,0.1128,1387.5,128438758,9499960.09,855584,3189827582280,1395740486454,11.17,110.19,559.01,,UE51_attached_gnb1_50UEs
post_lb_gnb1,51,gnb1,2026-08-19T09:56:43Z,1787133403.556,49,0,0,,,21809.0,100,,,,0,0,22.6854,20.7514,43.4368,13.77,13.92,36,11.11,16.29,3.83,68.76,1506712.0,666513.0,52953.0,10321.0,477.0,7694.0,4028.0,0.1111,1400.0,130119357,9540107.08,855584,3189960972555,1395805190551,,,,,UE51_removed_from_gnb1_49UEs
attach_gnb2,51,gnb2,2026-08-19T09:59:41Z,1787133581.361,49,1,1,,10.45.0.74,133356.0,100,,,,0,0,12.0739,9.2491,21.3230,0.03,0.04,1,0.06,0.13,0.02,99.78,32727.0,18216.0,1854.0,0.0,72.0,722.0,116.0,0.0006,1256.6,66781568,178.45,854824,1261861872,427008,24.04,111.26,144.59,,UE51_on_gnb2_gnb2has_1UEs
attach_gnb1,52,gnb1,2026-08-19T10:03:28Z,1787133808.926,50,0,1,19.75,10.45.0.75,,100,,,,0,0,24.4790,20.8984,45.3774,13.92,14.08,36,11.93,17.32,3.64,67.1,1526399.0,671489.0,52919.0,9590.0,710.0,7592.0,3967.0,0.1193,1343.8,123549245,9561294.33,855584,3190475162707,1396057474654,18.04,111.13,468.71,,UE52_attached_gnb1_50UEs
post_lb_gnb1,52,gnb1,2026-08-19T10:04:11Z,1787133851.197,49,0,0,,,21442.0,100,,,,0,0,22.4023,21.0264,43.4287,13.84,14.12,36,10.7,15.59,3.69,70.01,1516236.0,670829.0,53088.0,10514.0,500.0,7657.0,4051.0,0.107,1450.0,137111649,9575632.33,855584,3190604406420,1396118145261,,,,,UE52_removed_from_gnb1_49UEs
attach_gnb2,52,gnb2,2026-08-19T10:06:44Z,1787134004.065,49,1,1,,10.45.0.76,129791.0,100,,,,0,0,12.5206,9.2434,21.7640,0.05,0.03,1,0.11,0.13,0.02,99.75,33207.0,18418.0,1931.0,1.0,85.0,651.0,106.0,0.0011,1239.8,71203247,149.29,854824,1192497798,338873,34.63,111.55,140.48,,UE52_on_gnb2_gnb2has_1UEs
attach_gnb1,53,gnb1,2026-08-19T10:10:39Z,1787134239.613,50,0,1,19.91,10.45.0.77,,100,,,,0,0,22.4025,21.2664,43.6689,13.72,13.83,36,11.5,17.03,3.52,67.95,1539397.0,680512.0,53140.0,8796.0,664.0,7660.0,4102.0,0.115,1448.4,133835595,9550433.68,855584,3191082741277,1396347433445,25.49,111.64,366.0,,UE53_attached_gnb1_50UEs
post_lb_gnb1,53,gnb1,2026-08-19T10:11:22Z,1787134282.571,49,0,0,,,22061.0,100,,,,0,0,24.0097,20.7321,44.7418,14.41,14.07,36,10.75,15.96,3.88,69.41,1506679.0,667999.0,53758.0,11450.0,513.0,7630.0,4073.0,0.1075,1517.4,132986903,9517321.85,855584,3191220735697,1396408638898,,,,,UE53_removed_from_gnb1_49UEs
attach_gnb2,53,gnb2,2026-08-19T10:13:55Z,1787134435.802,49,1,1,,10.45.0.78,130457.0,100,,,,0,0,12.9710,9.2457,22.2167,0.07,0.03,1,0.11,0.12,0.04,99.73,33773.0,19061.0,2560.0,0.0,61.0,661.0,115.0,0.0011,1227.1,71604309,156.78,854992,1081765707,133486,32.9,111.53,143.43,,UE53_on_gnb2_gnb2has_1UEs
attach_gnb1,54,gnb1,2026-08-19T10:17:42Z,1787134662.368,50,0,1,14.84,10.45.0.79,,100,,,,0,0,23.6206,20.7703,44.3909,13.04,13.40,36,11.4,17.07,3.6,67.93,1521131.0,671906.0,52618.0,7480.0,638.0,7638.0,4044.0,0.114,1392.2,130328219,9518999.76,855584,3191667937185,1396615711307,28.04,112.21,220.12,,UE54_attached_gnb1_50UEs
post_lb_gnb1,54,gnb1,2026-08-19T10:18:24Z,1787134704.991,49,0,0,,,21919.0,100,,,,0,0,23.9803,20.5815,44.5618,12.31,12.99,36,11.23,16.95,3.96,67.85,1499504.0,663028.0,53771.0,10417.0,496.0,7615.0,4010.0,0.1123,1412.5,126387188,9525835.11,855584,3191801624605,1396678831963,,,,,UE54_removed_from_gnb1_49UEs
attach_gnb2,54,gnb2,2026-08-19T10:20:57Z,1787134857.588,49,1,1,,10.45.0.80,129717.0,100,,,,0,0,12.5466,9.2387,21.7853,0.04,0.03,1,0.09,0.08,0.03,99.8,32990.0,18395.0,2066.0,1.0,77.0,519.0,110.0,0.0009,1229.0,66178542,163.96,854836,1256375098,155195,28.58,111.54,146.43,,UE54_on_gnb2_gnb2has_1UEs
attach_gnb1,55,gnb1,2026-08-19T10:24:37Z,1787135077.546,50,0,1,14.6,10.45.0.81,,100,,,,0,0,23.5207,20.7821,44.3028,14.87,13.83,36,11.75,17.46,3.77,67.02,1521455.0,670695.0,53142.0,7593.0,662.0,7645.0,4071.0,0.1175,1429.7,125639388,9520900.83,855584,3192259529793,1396895167113,27.83,112.06,220.25,,UE55_attached_gnb1_50UEs
post_lb_gnb1,55,gnb1,2026-08-19T10:25:20Z,1787135120.101,49,0,0,,,21657.0,100,,,,0,0,23.0162,20.8418,43.8580,12.81,13.47,36,11.72,17.33,3.9,67.05,1496497.0,660006.0,53872.0,10832.0,498.0,7691.0,4039.0,0.1172,1392.2,123599476,9527993.8,855584,3192396328137,1396959985431,,,,,UE55_removed_from_gnb1_49UEs
attach_gnb2,55,gnb2,2026-08-19T10:27:59Z,1787135279.545,49,1,1,,10.45.0.82,136928.0,100,,,,0,0,12.2596,9.2644,21.5241,0.18,0.06,1,0.09,0.18,0.02,99.7,33372.0,18242.0,1764.0,0.0,81.0,759.0,112.0,0.0009,1271.9,68110177,170.61,854900,1127768590,185157,25.23,111.55,146.24,,UE55_on_gnb2_gnb2has_1UEs
attach_gnb1,56,gnb1,2026-08-19T10:31:47Z,1787135507.305,50,0,1,19.75,10.45.0.83,,100,,,,0,0,23.7452,20.6366,44.3818,13.57,13.13,36,11.52,16.68,3.73,68.07,1526481.0,670998.0,52536.0,6345.0,759.0,7599.0,4119.0,0.1152,1426.6,126308881,9529606.86,855584,3192866644104,1397169252652,28.49,111.94,232.8,,UE56_attached_gnb1_50UEs
