epoch_s,datetime_utc,gnb,target_bw_mbps,handover_phase,tti,nof_ues,dl_brate_bps,ul_brate_bps,proc_rmem_pct,proc_rmem_kB,proc_vmem_kB,sys_mem_pct,system_load,thread_count,cpu_0_pct,cpu_1_pct,cpu_2_pct,cpu_3_pct,cpu_4_pct,cpu_5_pct,cpu_6_pct,cpu_7_pct,cpu_8_pct,cpu_9_pct,cpu_10_pct,cpu_11_pct,cpu_12_pct,cpu_13_pct,cpu_14_pct,cpu_15_pct,cpu_16_pct,cpu_17_pct,cpu_18_pct,cpu_19_pct,cpu_20_pct,cpu_21_pct,cpu_22_pct,cpu_23_pct,cpu_24_pct,cpu_25_pct,cpu_26_pct,cpu_27_pct,cpu_28_pct,cpu_29_pct,cpu_30_pct,cpu_31_pct,cpu_mean_pct,cpu_max_pct,cpu_active_cores,gnb_pkg0_watts,gnb_total_watts,nof_ues_on_gnb
1787047779.000,2026-08-18T10:09:39.000Z,gnb1,1,pre,0,0,0.0,0.0,1.2,808792,1398680,59,0.50,15,35.0,36.0,34.0,34.0,35.0,35.0,35.0,34.0,34.0,36.0,37.0,35.0,35.0,35.0,35.0,35.0,37.0,36.0,37.0,32.0,37.0,36.0,36.0,36.0,35.0,37.0,37.0,36.0,35.0,36.0,35.0,36.0,35.438,37.0,32,22.390,46.206,50
1787047784.000,2026-08-18T10:09:44.000Z,gnb1,1,pre,5000,1,0.0,0.0,1.3,855588,1666488,63,0.75,15,50.0,40.0,49.0,41.0,47.0,40.0,50.0,38.0,49.0,41.0,49.0,35.0,49.0,40.0,52.0,38.0,55.0,40.0,53.0,40.0,52.0,40.0,54.0,37.0,54.0,39.0,55.0,36.0,54.0,38.0,50.0,38.0,45.094,55.0,32,22.390,46.206,50
1787047789.000,2026-08-18T10:09:49.000Z,gnb1,1,pre,10000,1,0.0,0.0,1.3,855588,1666488,63,0.75,15,47.0,44.0,50.0,42.0,50.0,43.0,49.0,43.0,50.0,42.0,49.0,41.0,52.0,40.0,55.0,42.0,52.0,45.0,54.0,39.0,53.0,43.0,54.0,40.0,54.0,44.0,54.0,45.0,54.0,43.0,51.0,41.0,47.031,55.0,32,22.390,46.206,50
1787047794.000,2026-08-18T10:09:54.000Z,gnb1,1,pre,15000,1,0.0,0.0,1.3,855588,1666488,64,0.72,15,48.0,39.0,49.0,41.0,49.0,41.0,46.0,42.0,47.0,41.0,45.0,40.0,45.0,39.0,47.0,39.0,52.0,39.0,52.0,42.0,53.0,42.0,52.0,39.0,52.0,43.0,52.0,39.0,50.0,38.0,45.0,41.0,44.656,53.0,32,22.390,46.206,50
1787047799.000,2026-08-18T10:09:59.000Z,gnb1,1,pre,20000,1,0.0,0.0,1.3,855588,1666488,64,0.75,15,49.0,39.0,50.0,39.0,50.0,38.0,48.0,39.0,50.0,42.0,47.0,34.0,49.0,40.0,51.0,40.0,54.0,37.0,54.0,40.0,53.0,38.0,54.0,39.0,53.0,40.0,54.0,37.0,54.0,39.0,50.0,39.0,45.0,54.0,32,22.390,46.206,50
1787047804.000,2026-08-18T10:10:04.000Z,gnb1,1,pre,25000,1,0.0,0.0,1.3,855588,1666488,64,0.72,15,51.0,38.0,50.0,36.0,51.0,35.0,49.0,36.0,51.0,36.0,48.0,38.0,49.0,36.0,52.0,37.0,55.0,41.0,54.0,37.0,55.0,38.0,55.0,38.0,55.0,37.0,55.0,37.0,54.0,35.0,50.0,38.0,44.594,55.0,32,22.390,46.206,50
1787047809.000,2026-08-18T10:10:09.000Z,gnb1,1,pre,30000,1,0.0,0.0,1.3,855588,1666488,65,0.72,15,49.0,43.0,50.0,41.0,48.0,44.0,48.0,41.0,48.0,43.0,47.0,42.0,49.0,43.0,50.0,43.0,53.0,45.0,53.0,42.0,54.0,41.0,53.0,40.0,53.0,43.0,53.0,41.0,53.0,43.0,47.0,43.0,46.438,54.0,32,22.390,46.206,50
1787047814.000,2026-08-18T10:10:14.000Z,gnb1,1,pre,35000,1,0.0,0.0,1.3,855588,1666488,65,0.72,15,48.0,41.0,48.0,40.0,48.0,38.0,47.0,39.0,47.0,38.0,46.0,37.0,45.0,39.0,51.0,41.0,51.0,38.0,51.0,41.0,52.0,38.0,52.0,36.0,52.0,38.0,52.0,37.0,49.0,39.0,49.0,40.0,44.0,52.0,32,22.390,46.206,50
1787047819.000,2026-08-18T10:10:19.000Z,gnb1,1,pre,40000,1,0.0,0.0,1.3,855588,1666488,65,0.78,15,49.0,40.0,48.0,41.0,47.0,39.0,47.0,41.0,48.0,38.0,46.0,42.0,47.0,41.0,51.0,43.0,52.0,42.0,52.0,41.0,52.0,42.0,51.0,41.0,52.0,41.0,53.0,42.0,52.0,43.0,49.0,43.0,45.5,53.0,32,22.390,46.206,50
1787047824.000,2026-08-18T10:10:24.000Z,gnb1,1,pre,45000,1,0.0,0.0,1.3,855588,1666488,65,0.75,15,48.0,40.0,50.0,39.0,49.0,36.0,48.0,37.0,47.0,38.0,47.0,42.0,48.0,38.0,51.0,37.0,54.0,40.0,54.0,39.0,55.0,38.0,54.0,40.0,52.0,38.0,53.0,43.0,53.0,40.0,47.0,41.0,44.875,55.0,32,22.390,46.206,50
1787047829.000,2026-08-18T10:10:29.000Z,gnb1,1,pre,50000,1,0.0,0.0,1.3,855588,1666488,66,0.75,15,49.0,37.0,48.0,38.0,49.0,39.0,48.0,41.0,48.0,39.0,46.0,39.0,49.0,40.0,52.0,39.0,53.0,40.0,54.0,36.0,54.0,41.0,53.0,40.0,52.0,39.0,54.0,37.0,53.0,41.0,50.0,38.0,44.875,54.0,32,22.390,46.206,50
1787047834.000,2026-08-18T10:10:34.000Z,gnb1,1,pre,55000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,49.0,40.0,48.0,43.0,47.0,39.0,47.0,39.0,47.0,41.0,46.0,40.0,48.0,42.0,52.0,42.0,53.0,45.0,53.0,43.0,52.0,36.0,53.0,40.0,52.0,39.0,54.0,39.0,53.0,38.0,50.0,44.0,45.438,54.0,32,22.390,46.206,50
1787047839.000,2026-08-18T10:10:39.000Z,gnb1,1,pre,60000,1,0.0,0.0,1.3,855588,1666488,66,0.72,15,50.0,42.0,50.0,37.0,49.0,38.0,49.0,40.0,49.0,36.0,46.0,39.0,50.0,40.0,53.0,39.0,54.0,39.0,54.0,38.0,53.0,37.0,53.0,40.0,53.0,35.0,52.0,39.0,53.0,37.0,50.0,39.0,44.781,54.0,32,22.390,46.206,50
