epoch_s,datetime_utc,direction,target_bw_mbps,gnb,interval_start_s,interval_end_s,mbps,bytes,retransmits,gnb_pkg0_watts,gnb_total_watts,gnb_cpu_load,nof_ues,handover_phase
1787047716.161,2026-08-18T10:08:36.160Z,dl,1,gnb1,0,2.321,0.4517,131072,0,22.39,46.206,14.11,50,pre
1787047718.194,2026-08-18T10:08:38.194Z,dl,1,gnb1,2.321,4.067,0.6006,131072,0,22.39,46.206,14.11,50,pre
1787047719.729,2026-08-18T10:08:39.728Z,dl,1,gnb1,4.067,5.39,0.7926,131072,0,22.39,46.206,14.11,50,pre
1787047722.001,2026-08-18T10:08:42.000Z,dl,1,gnb1,5.39,8.611,0.3256,131072,0,22.39,46.206,14.11,50,pre
1787047724.773,2026-08-18T10:08:44.772Z,dl,1,gnb1,8.611,10.935,0.4512,131072,0,22.39,46.206,14.11,50,pre
1787047727.028,2026-08-18T10:08:47.027Z,dl,1,gnb1,10.935,13.121,0.4796,131072,0,22.39,46.206,14.11,50,pre
1787047729.769,2026-08-18T10:08:49.769Z,dl,1,gnb1,13.121,16.417,0.3181,131072,0,22.39,46.206,14.11,50,pre
1787047735.833,2026-08-18T10:08:55.832Z,dl,1,gnb1,16.417,25.249,0.1187,131072,0,22.39,46.206,14.11,50,pre
1787047745.25,2026-08-18T10:09:05.249Z,dl,1,gnb1,25.249,35.251,0.0821,102616,0,22.39,46.206,14.11,50,pre
1787047779.5,2026-08-18T10:09:39.500Z,ul,1,gnb1,0,1.0,0.4529,56616,0,22.39,46.206,14.11,50,pre
1787047780.5,2026-08-18T10:09:40.500Z,ul,1,gnb1,1.0,2.0,0.0,0,0,22.39,46.206,14.11,50,pre
1787047781.5,2026-08-18T10:09:41.500Z,ul,1,gnb1,2.0,3.0,0.6147,76836,0,22.39,46.206,14.11,50,pre
1787047782.5,2026-08-18T10:09:42.500Z,ul,1,gnb1,3.0,4.0,0.0,0,0,22.39,46.206,14.11,50,pre
1787047783.5,2026-08-18T10:09:43.500Z,ul,1,gnb1,4.0,5.0,1.251,156368,0,22.39,46.206,14.11,50,pre
1787047784.5,2026-08-18T10:09:44.500Z,ul,1,gnb1,5.0,6.0,0.0,0,0,22.39,46.206,14.11,50,pre
1787047785.5,2026-08-18T10:09:45.500Z,ul,1,gnb1,6.0,7.0,1.4235,177936,0,22.39,46.206,14.11,50,pre
1787047786.5,2026-08-18T10:09:46.500Z,ul,1,gnb1,7.0,8.0,1.0485,131072,0,22.39,46.206,14.11,50,pre
1787047787.5,2026-08-18T10:09:47.500Z,ul,1,gnb1,8.0,9.0,1.0484,131072,0,22.39,46.206,14.11,50,pre
1787047788.5,2026-08-18T10:09:48.500Z,ul,1,gnb1,9.0,10.0,1.0488,131072,0,22.39,46.206,14.11,50,pre
1787047789.5,2026-08-18T10:09:49.500Z,ul,1,gnb1,10.0,11.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047790.5,2026-08-18T10:09:50.500Z,ul,1,gnb1,11.0,12.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047791.5,2026-08-18T10:09:51.500Z,ul,1,gnb1,12.0,13.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047792.5,2026-08-18T10:09:52.500Z,ul,1,gnb1,13.0,14.0,2.0972,262144,0,22.39,46.206,14.11,50,pre
1787047793.5,2026-08-18T10:09:53.500Z,ul,1,gnb1,14.0,15.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047794.5,2026-08-18T10:09:54.500Z,ul,1,gnb1,15.0,16.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047795.5,2026-08-18T10:09:55.500Z,ul,1,gnb1,16.0,17.0,1.0485,131072,0,22.39,46.206,14.11,50,pre
1787047796.5,2026-08-18T10:09:56.500Z,ul,1,gnb1,17.0,18.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047797.5,2026-08-18T10:09:57.500Z,ul,1,gnb1,18.0,19.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047798.5,2026-08-18T10:09:58.500Z,ul,1,gnb1,19.0,20.0,1.0486,131072,0,22.39,46.206,14.11,50,pre
1787047799.5,2026-08-18T10:09:59.500Z,ul,1,gnb1,20.0,21.0,0.0,0,27,22.39,46.206,14.11,50,pre
1787047800.5,2026-08-18T10:10:00.500Z,ul,1,gnb1,21.0,22.0,0.0,0,25,22.39,46.206,14.11,50,pre
1787047801.5,2026-08-18T10:10:01.500Z,ul,1,gnb1,22.0,23.0,0.0,0,33,22.39,46.206,14.11,50,pre
1787047802.5,2026-08-18T10:10:02.500Z,ul,1,gnb1,23.0,24.0,0.0,0,21,22.39,46.206,14.11,50,pre
1787047803.5,2026-08-18T10:10:03.500Z,ul,1,gnb1,24.0,25.0,0.0,0,34,22.39,46.206,14.11,50,pre
1787047804.5,2026-08-18T10:10:04.500Z,ul,1,gnb1,25.0,26.0,0.0,0,2,22.39,46.206,14.11,50,pre
1787047805.5,2026-08-18T10:10:05.500Z,ul,1,gnb1,26.0,27.0,1.0485,131072,0,22.39,46.206,14.11,50,pre
1787047806.5,2026-08-18T10:10:06.500Z,ul,1,gnb1,27.0,28.0,0.0,0,0,22.39,46.206,14.11,50,pre
1787047807.5,2026-08-18T10:10:07.500Z,ul,1,gnb1,28.0,29.0,0.0,0,0,22.39,46.206,14.11,50,pre
