timestamp,phase,ue_id,active_gnb,target_mbps,iperf_dl_actual_mbps,iperf_dl_mb,iperf_dl_retransmits,iperf_dl_cpu_host_pct,iperf_ul_actual_mbps,iperf_ul_mb,iperf_ul_retransmits,iperf_ul_cpu_host_pct,iperf_interval_idx,iperf_interval_total,iperf_interval_start_s,iperf_interval_end_s,iperf_interval_dl_mbps,iperf_interval_ul_mbps,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,ping_rtt_mdev_ms,ping_loss_pct,ran_tti,ran_nof_ues,ran_dl_brate_bps,ran_ul_brate_bps,ran_proc_rmem,ran_proc_rmem_kB,ran_proc_vmem_kB,ran_sys_mem_pct,ran_system_load,ran_thread_count,ran_cpu_0_pct,ran_cpu_1_pct,ran_cpu_2_pct,ran_cpu_3_pct,ran_cpu_4_pct,ran_cpu_5_pct,ran_cpu_6_pct,ran_cpu_7_pct,ran_cpu_8_pct,ran_cpu_9_pct,ran_cpu_10_pct,ran_cpu_11_pct,ran_cpu_12_pct,ran_cpu_13_pct,ran_cpu_14_pct,ran_cpu_15_pct,ran_cpu_16_pct,ran_cpu_17_pct,ran_cpu_18_pct,ran_cpu_19_pct,ran_cpu_20_pct,ran_cpu_21_pct,ran_cpu_22_pct,ran_cpu_23_pct,ran_cpu_24_pct,ran_cpu_25_pct,ran_cpu_26_pct,ran_cpu_27_pct,ran_cpu_28_pct,ran_cpu_29_pct,ran_cpu_30_pct,ran_cpu_31_pct,ran_cpu_mean_pct,ran_cpu_max_pct,ran_cpu_softirq_cores_count,sysmon_cpu_user_pct,sysmon_cpu_sys_pct,sysmon_cpu_iowait_pct,sysmon_cpu_irq_pct,sysmon_cpu_softirq_pct,sysmon_cpu_idle_pct,sysmon_intr_per_s,sysmon_ctxt_per_s,sysmon_sirq_NET_RX_per_s,sysmon_sirq_NET_TX_per_s,sysmon_sirq_TIMER_per_s,sysmon_sirq_SCHED_per_s,sysmon_sirq_TASKLET_per_s,sysmon_sirq_RCU_per_s,sysmon_net_rx_bytes_s,sysmon_net_tx_bytes_s,sysmon_net_rx_pkts_s,sysmon_net_tx_pkts_s,sysmon_net_rx_drop_total,sysmon_net_tx_drop_total,sysmon_mem_used_MB,sysmon_load1,sysmon_load5,sysmon_load15,sysmon_cpu_freq_max_hz,sysmon_rapl_uj_delta,sysmon_temp_core_max_C,proc_cpu_user_pct,proc_cpu_sys_pct,proc_cpu_total_pct,proc_rss_kB,proc_threads,proc_vol_ctxsw_s,proc_nonvol_ctxsw_s,proc_schedrun_ns,proc_schedwait_ns,gnb_pkg0_watts,gnb_pkg1_watts,gnb_dram_watts,gnb_total_watts,gnb_cpu_freq_max_hz,gnb_cpu_freq_avg_hz,gnb_temp_pkg0_C,gnb_temp_pkg1_C,snap_cpu_0_pct,snap_cpu_1_pct,snap_cpu_2_pct,snap_cpu_3_pct,snap_cpu_4_pct,snap_cpu_5_pct,snap_cpu_6_pct,snap_cpu_7_pct,snap_cpu_8_pct,snap_cpu_9_pct,snap_cpu_10_pct,snap_cpu_11_pct,snap_cpu_12_pct,snap_cpu_13_pct,snap_cpu_14_pct,snap_cpu_15_pct,snap_cpu_16_pct,snap_cpu_17_pct,snap_cpu_18_pct,snap_cpu_19_pct,snap_cpu_20_pct,snap_cpu_21_pct,snap_cpu_22_pct,snap_cpu_23_pct,snap_cpu_24_pct,snap_cpu_25_pct,snap_cpu_26_pct,snap_cpu_27_pct,snap_cpu_28_pct,snap_cpu_29_pct,snap_cpu_30_pct,snap_cpu_31_pct,handover_phase,handover_delta_ms,notes
gnb1_step_1Mbps,gnb1_ramp,50,gnb1,1,0.2613,1.15,0,0.0,0.649,2.43,144,5.09,,,,,,,331.068,684.492,1106.834,227.670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,dl_agg [from_intervals]
gnb1_1Mbps_dl_iv0,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,0,9,0,2.321,0.4517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv1,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,1,9,2.321,4.067,0.6006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv2,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,2,9,4.067,5.39,0.7926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv3,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,3,9,5.39,8.611,0.3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv4,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,4,9,8.611,10.935,0.4512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv5,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,5,9,10.935,13.121,0.4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv6,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,6,9,13.121,16.417,0.3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv7,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,7,9,16.417,25.249,0.1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
gnb1_1Mbps_dl_iv8,gnb1_ramp_iperf_interval,50,gnb1,1,,,,,,,,,8,9,25.249,35.251,0.0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.39,20.607,3.209,46.206,1798028,1413495,69.0,60.0,24.0,13.5,26.6,13.3,22.1,13.5,22.7,12.9,23.3,13.1,21.1,13.8,24.6,13.1,27.7,13.0,27.7,13.6,35.2,13.2,28.1,13.3,27.4,13.4,26.8,13.0,28.8,13.1,28.6,13.4,24.1,13.1,pre,,
