timestamp,tti,rnti,event_type,pdsch_nof_prb,pdsch_nof_re,pdsch_tbs,pdsch_mod,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_nof_re,pusch_tbs,pusch_mod,pusch_rv,pusch_crc,pusch_snr_db,pusch_epre_dbfs,pusch_ta_us,pusch_cfo_hz,pusch_proc_us,pucch_format,pucch_snr_db,pucch_corr,pucch_sr,pucch_cqi,pucch_ack,phr_db,bsr_lc0,bsr_lc1,bsr_lc2,bsr_lc3,epoch_s,gnb,phase,handover_phase,prb_util_pct,dl_mod_label,ul_mod_label
2026-08-18T10:08:34.527424,6928,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.9,0.0,0.0,494,,,,,,,,,,,,1787047714.527424,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:34.527468,6928,0x46,PHR,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1787047714.527468,gnb1,ramp,pre,,,
2026-08-18T10:08:34.564284,6929,0x46,PDSCH,3,450,85,4,0,,,,,,,,,,,,,,,,,,,,,,,,1787047714.564284,gnb1,ramp,pre,6.0,16QAM,
2026-08-18T10:08:35.194144,6948,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,0.0,106,,,,,,,,,,,,1787047715.194144,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:35.194179,6948,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047715.194179,gnb1,ramp,pre,,,
2026-08-18T10:08:35.238842,6949,0x46,PDSCH,3,450,121,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047715.238842,gnb1,ramp,pre,6.0,64QAM,
2026-08-18T10:08:35.811772,6968,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,0.0,200,,,,,,,,,,,,1787047715.811772,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:35.811779,6968,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047715.811779,gnb1,ramp,pre,,,
2026-08-18T10:08:35.882628,6970,0x46,PDSCH,3,450,63,4,0,,,,,,,,,,,,,,,,,,,,,,,,1787047715.882628,gnb1,ramp,pre,6.0,16QAM,
2026-08-18T10:08:36.147551,6979,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,1787047716.147551,gnb1,ramp,pre,6.0,QPSK,
2026-08-18T10:08:36.422680,6988,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,0.0,201,,,,,,,,,,,,1787047716.422680,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:36.422769,6988,0x46,PHR,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1787047716.422769,gnb1,ramp,pre,,,
2026-08-18T10:08:36.458764,6989,0x46,PDSCH,3,450,121,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047716.458764,gnb1,ramp,pre,6.0,64QAM,
2026-08-18T10:08:37.068358,7008,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,0.0,217,,,,,,,,,,,,1787047717.068358,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:37.068382,7008,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047717.068382,gnb1,ramp,pre,,,
2026-08-18T10:08:37.093303,7009,0x46,PDSCH,3,450,73,4,0,,,,,,,,,,,,,,,,,,,,,,,,1787047717.093303,gnb1,ramp,pre,6.0,16QAM,
2026-08-18T10:08:37.692134,7028,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.9,0.0,0.0,188,,,,,,,,,,,,1787047717.692134,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:37.692173,7028,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047717.692173,gnb1,ramp,pre,,,
2026-08-18T10:08:37.719046,7029,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047717.719046,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:37.719986,7030,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047717.719986,gnb1,ramp,pre,100.0,64QAM,
