timestamp,tti,rnti,event_type,pdsch_nof_prb,pdsch_nof_re,pdsch_tbs,pdsch_mod,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_nof_re,pusch_tbs,pusch_mod,pusch_rv,pusch_crc,pusch_snr_db,pusch_epre_dbfs,pusch_ta_us,pusch_cfo_hz,pusch_proc_us,pucch_format,pucch_snr_db,pucch_corr,pucch_sr,pucch_cqi,pucch_ack,phr_db,bsr_lc0,bsr_lc1,bsr_lc2,bsr_lc3
2026-08-18T10:31:05.181468,342,0x2,PDSCH,3,450,11,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:05.794975,352,0x46,PUSCH,,,,,,2,4,432,7,2,0,OK,117.9,147.6,0.0,0.0,94,,,,,,,,,,,
2026-08-18T10:31:05.873211,354,0x46,PDSCH,3,450,32,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:06.095484,360,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,-inf,"0.000,",,,,,,,,
2026-08-18T10:31:06.125822,361,0x46,PUCCH,,,,,,,,,,,,,,,,,,2,-inf,"0.000,",,,,,,,,
2026-08-18T10:31:06.161284,362,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:06.756558,380,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:07.306445,388,0x46,PUSCH,,,,,,2,46,6480,157,2,0,OK,109.0,135.8,0.0,0.0,365,,,,,,,,,,,
2026-08-18T10:31:07.306495,388,0x46,PHR,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,
2026-08-18T10:31:07.352498,389,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:07.388080,390,0x46,PDSCH,6,900,51,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:07.616284,397,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.8,"1.000,",,,1,,,,,
2026-08-18T10:31:07.653314,398,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.8,"1.000,",,,1,,,,,
2026-08-18T10:31:07.715631,400,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:07.741872,401,0x46,PUCCH,,,,,,,,,,,,,,,,,,2,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:07.945154,408,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,-0.0,157,,,,,,,,,,,
2026-08-18T10:31:07.945167,408,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-18T10:31:07.988202,409,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:08.015775,410,0x46,PDSCH,3,450,41,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:08.245132,417,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:08.270790,418,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:08.324229,420,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:08.505211,428,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,-0.0,87,,,,,,,,,,,
2026-08-18T10:31:08.505294,428,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-18T10:31:08.523064,429,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:08.543460,430,0x46,PDSCH,3,450,26,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:08.678279,437,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:08.696469,438,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:08.762234,440,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:08.801342,441,0x46,PUCCH,,,,,,,,,,,,,,,,,,2,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:08.992726,448,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.7,0.0,-0.0,151,,,,,,,,,,,
2026-08-18T10:31:08.992796,448,0x46,PHR,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,
2026-08-18T10:31:09.021924,449,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:09.041490,450,0x46,PDSCH,3,450,18,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:09.256321,457,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:09.296552,458,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:09.352660,460,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:09.559627,468,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,-0.0,86,,,,,,,,,,,
2026-08-18T10:31:09.559670,468,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-18T10:31:09.579442,469,0x46,PDSCH,3,450,22,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:10.057960,477,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:10.156330,480,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:10.184377,481,0x46,PUCCH,,,,,,,,,,,,,,,,,,2,111.8,"1.000,",,,,,,,,
2026-08-18T10:31:10.413157,488,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,-0.0,87,,,,,,,,,,,
2026-08-18T10:31:10.413222,488,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2026-08-18T10:31:10.440933,489,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:10.467902,490,0x46,PDSCH,3,450,113,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:31:10.641371,497,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:10.683999,498,0x46,PUCCH,,,,,,,,,,,,,,,,,,1a,111.7,"1.000,",,,1,,,,,
2026-08-18T10:31:10.745228,500,0x46,PUCCH,,,,,,,,,,,,,,,,,,1,111.8,"1.000,",,,,,,,,
