epoch_s,datetime_utc,gnb,handover_phase,gnb_pkg0_watts,gnb_total_watts,nof_ues,timestamp,node_cpu_user_pct,node_cpu_sys_pct,node_cpu_iowait_pct,node_cpu_irq_pct,node_cpu_softirq_pct,node_cpu_idle_pct,node_mem_total_MB,node_mem_used_MB,node_mem_free_MB,node_mem_avail_MB,node_swap_used_MB,node_load1,node_load5,node_load15,node_intr_per_s,node_ctxt_per_s,node_softirq_NET_RX_per_s,node_softirq_NET_TX_per_s,node_softirq_TIMER_per_s,node_softirq_SCHED_per_s,node_softirq_TASKLET_per_s,node_softirq_RCU_per_s,node_net_rx_bytes_s,node_net_tx_bytes_s,node_net_rx_pkts_s,node_net_tx_pkts_s,node_net_rx_drop_total,node_net_tx_drop_total,node_temp_core_max_C,node_cpu_freq_max_hz,node_rapl_package_uj_delta,node_cpu0_pct,node_cpu1_pct,node_cpu2_pct,node_cpu3_pct,node_cpu4_pct,node_cpu5_pct,node_cpu6_pct,node_cpu7_pct,node_cpu8_pct,node_cpu9_pct,node_cpu10_pct,node_cpu11_pct,node_cpu12_pct,node_cpu13_pct,node_cpu14_pct,node_cpu15_pct,node_cpu16_pct,node_cpu17_pct,node_cpu18_pct,node_cpu19_pct,node_cpu20_pct,node_cpu21_pct,node_cpu22_pct,node_cpu23_pct,node_cpu24_pct,node_cpu25_pct,node_cpu26_pct,node_cpu27_pct,node_cpu28_pct,node_cpu29_pct,node_cpu30_pct,node_cpu31_pct,proc_pid,proc_name,proc_cpu_user_pct,proc_cpu_sys_pct,proc_cpu_total_pct,proc_utime_s_delta,proc_stime_s_delta,proc_rss_kB,proc_vsz_kB,proc_vmhwm_kB,proc_threads,proc_vol_ctxsw_s,proc_nonvol_ctxsw_s,proc_schedrun_ns,proc_schedwait_ns,proc_schedrun_count,proc_open_fds
1787024005.000,2026-08-18T03:33:25.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:25,11.79,17.02,0.0,0.0,3.6,67.59,64297.0,40974.4,590.0,23322.6,48.8,13.15,13.76,13.68,699481,1596452,55568,6352,600,7982,6489,4142,2006,306,24,3,1937231,0,68.0,1798028,0,41.21,25.62,36.99,22.58,35.09,26.99,38.33,26.71,39.56,24.05,34.68,18.52,33.73,23.03,43.82,21.38,44.32,26.54,44.38,25.77,42.26,24.05,45.25,24.53,44.63,26.22,45.25,21.76,43.18,19.51,38.73,18.4,110735,enb_ue50.conf,15.98,16.48,32.46,0.32,0.33,855588,1666488,855588,15,138.4,20.5,2817988155070,1139760320820,258704198,-1
1787024008.000,2026-08-18T03:33:28.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:28,11.89,17.28,0.0,0.0,3.52,67.31,64297.0,40971.4,592.9,23325.6,48.8,13.7,13.86,13.71,669139,1526913,53188,6150,593,7667,6203,4337,1719,410,24,3,1937233,0,68.0,1698145,0,36.21,25.94,38.46,26.73,36.05,26.94,33.48,30.45,33.04,26.42,32.61,25.23,33.91,22.87,42.67,23.29,41.67,26.64,44.07,26.73,45.23,25.7,44.77,28.32,43.51,26.64,46.94,20.36,43.04,17.57,39.66,21.43,110735,enb_ue50.conf,9.22,13.83,23.05,0.26,0.39,855588,1666488,855588,15,99.7,13.5,2817992173053,1139761718050,258704517,-1
1787024011.000,2026-08-18T03:33:31.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:31,12.27,18.1,0.0,0.0,3.95,65.68,64297.0,40972.3,592.0,23324.7,48.8,14.2,13.96,13.75,671921,1521063,53115,6063,586,7635,6268,4236,943,0,13,0,1937234,0,69.0,2397288,0,37.12,29.17,39.92,32.58,35.96,27.31,37.82,26.85,37.07,30.53,35.34,22.57,37.23,26.24,43.83,25.45,46.56,27.01,44.21,26.85,48.18,26.17,48.62,25.36,45.19,26.07,47.33,20.85,46.09,23.01,38.1,21.52,110735,enb_ue50.conf,8.86,15.59,24.45,0.25,0.44,855588,1666488,855588,15,100.3,16.3,2817996055194,1139763893703,258704846,-1
1787024013.000,2026-08-18T03:33:33.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:33,12.11,17.87,0.0,0.0,3.59,66.42,64297.0,40972.0,592.3,23325.0,48.8,14.2,13.96,13.75,676050,1525940,53157,5988,568,7622,6288,4244,6108,0,91,0,1937236,0,67.0,1698146,0,39.75,29.36,40.74,24.07,39.92,25.34,38.14,24.77,37.34,22.01,36.05,22.61,39.09,24.45,41.99,21.82,46.69,27.11,47.6,24.31,47.97,26.46,46.31,25.89,47.37,25.23,47.76,17.83,46.99,19.57,37.99,18.83,110735,enb_ue50.conf,7.35,15.05,22.4,0.21,0.43,855588,1666488,855588,15,99.4,12.3,2817999964166,1139765529024,258705165,-1
1787024016.000,2026-08-18T03:33:36.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:36,11.74,17.48,0.0,0.0,3.56,67.23,64297.0,40972.9,591.4,23324.1,48.8,13.78,13.88,13.72,674615,1531088,53120,6124,578,7646,6206,4312,3415,0,53,0,1937237,0,69.0,1698135,0,37.39,25.68,38.56,24.31,38.62,25.0,35.29,24.2,36.55,25.34,35.04,21.97,34.65,22.47,44.9,23.77,45.45,30.74,44.07,25.68,44.3,24.88,47.6,23.96,46.4,23.85,46.53,17.33,45.75,18.53,39.15,19.3,110735,enb_ue50.conf,8.43,14.76,23.19,0.24,0.42,855588,1666488,855588,15,99.4,11.6,2818003691096,1139767260609,258705481,-1
1787024019.000,2026-08-18T03:33:39.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:39,11.9,17.55,0.0,0.0,3.6,66.95,64297.0,40971.4,592.9,23325.6,48.8,13.78,13.88,13.72,671868,1529438,53259,5992,587,7661,6190,4225,2084,25,32,0,1937238,0,68.0,1698140,0,39.67,25.35,39.92,28.0,38.49,25.93,32.89,23.92,36.55,25.81,33.19,21.43,39.27,22.32,43.57,21.13,45.97,27.48,44.86,26.48,42.8,25.81,44.67,23.81,44.35,26.7,48.21,17.7,45.49,19.74,40.98,19.37,110735,enb_ue50.conf,8.44,15.12,23.56,0.24,0.43,855588,1666488,855588,15,99.2,12.0,2818007191372,1139768765936,258705797,-1
1787024022.000,2026-08-18T03:33:42.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:42,11.23,17.38,0.0,0.0,3.75,67.64,64297.0,40973.7,590.6,23323.3,48.8,13.72,13.87,13.72,676293,1530603,53070,6147,594,7595,6204,4262,1078,0,17,0,1937240,0,70.0,1798026,0,39.24,24.65,39.26,25.11,34.35,24.42,37.29,25.11,37.07,26.01,33.76,22.71,39.15,20.81,41.48,23.89,48.63,25.69,41.23,23.72,44.77,25.45,45.71,24.66,46.59,24.2,46.53,17.18,42.92,16.96,39.22,16.51,110735,enb_ue50.conf,9.15,14.42,23.57,0.26,0.41,855588,1666488,855588,15,98.8,16.5,2818010787074,1139770049293,258706125,-1
1787024025.000,2026-08-18T03:33:45.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:45,12.01,17.18,0.0,0.0,3.84,66.96,64297.0,40971.1,593.1,23325.9,48.8,13.72,13.87,13.72,673285,1526625,53118,6077,585,7567,6265,4224,1799,0,26,0,1937241,0,67.0,1698150,0,39.57,26.73,38.7,24.42,38.93,24.88,36.48,24.3,37.07,25.23,35.59,22.87,35.53,19.63,43.7,22.48,46.72,27.6,44.73,24.31,46.12,22.49,43.59,24.41,46.5,33.04,47.37,20.43,43.64,20.0,37.33,20.26,110735,enb_ue50.conf,8.48,15.2,23.68,0.24,0.43,855588,1666488,855588,15,99.0,14.5,2818014636553,1139771860855,258706446,-1
1787024028.000,2026-08-18T03:33:48.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:48,11.9,17.8,0.0,0.0,3.62,66.68,64297.0,40970.0,594.1,23327.0,48.8,13.02,13.72,13.67,672219,1527514,53303,6043,573,7708,6279,4199,1513,55,23,1,1937243,0,68.0,1698135,0,38.82,29.6,38.36,25.12,37.71,27.27,35.09,24.17,36.64,26.94,35.19,23.01,37.5,23.29,42.8,24.31,46.12,25.81,43.04,25.58,43.4,26.15,46.37,23.58,46.09,26.94,46.77,18.5,45.23,20.27,39.24,26.73,110735,enb_ue50.conf,10.65,12.78,23.43,0.3,0.36,855588,1666488,855588,15,100.1,13.1,2818018408812,1139773417663,258706765,-1
1787024030.000,2026-08-18T03:33:50.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:50,11.54,17.19,0.0,0.0,3.61,67.67,64297.0,40971.7,592.4,23325.3,48.8,12.94,13.69,13.66,677766,1531267,53203,5952,570,7553,6210,4354,4852,0,39,0,1937244,0,68.0,2397372,0,42.92,24.32,39.83,18.75,38.72,22.73,41.53,22.73,39.5,20.28,36.86,18.67,35.59,22.03,43.64,24.55,44.73,25.44,43.78,20.09,46.06,21.1,45.87,22.83,46.89,25.0,47.97,17.45,47.35,15.18,37.99,21.03,110735,enb_ue50.conf,9.49,13.71,23.2,0.27,0.39,855588,1666488,855588,15,99.5,16.5,2818021933805,1139775206853,258707095,-1
1787024033.000,2026-08-18T03:33:53.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:53,11.52,16.96,0.0,0.0,3.57,67.95,64297.0,40970.2,593.9,23326.8,48.8,12.94,13.69,13.66,675171,1536479,53059,6104,584,7675,6333,4293,2091,23,32,0,1937245,0,69.0,1698148,0,36.48,24.31,35.09,23.64,35.96,24.77,35.5,25.78,38.4,18.88,35.56,21.78,36.75,17.65,43.57,22.79,46.43,20.48,42.06,24.66,45.04,23.5,47.01,25.23,43.46,20.09,48.63,19.66,45.93,17.95,40.08,24.09,110735,enb_ue50.conf,9.51,13.73,23.24,0.27,0.39,855588,1666488,855588,15,98.2,9.5,2818025435414,1139776560394,258707401,-1
1787024036.000,2026-08-18T03:33:56.000Z,gnb1,pre,22.39,46.206,50,2026-08-18T03:33:56,11.8,16.94,0.0,0.0,3.52,67.74,64297.0,40972.8,591.2,23324.2,48.8,13.27,13.74,13.68,675574,1535488,53113,6073,562,7522,6364,4202,2504,0,35,0,1937247,0,69.0,2397381,0,38.03,25.58,37.12,22.22,40.16,21.13,38.56,24.09,37.97,12.89,39.43,22.12,36.8,19.09,42.67,23.11,46.53,26.27,42.42,25.0,46.31,20.95,44.68,22.17,44.77,19.57,46.91,22.27,45.27,19.48,41.18,24.88,110735,enb_ue50.conf,10.33,13.18,23.51,0.29,0.37,855588,1666488,855588,15,100.8,14.2,2818029824134,1139778450643,258707724,-1
